,SP_m,SP_sd,SP_t,accuracy,drift_m,drift_sd,drift_t,ndt,participant,rt,threshold,trial,onset
463,-0.1,0.1,0.4156752326813343,1,2,1.2,3.3810976213036907,0.3,1,0.594,1.2,464,4640
464,-0.1,0.1,0.3980296345177052,0,2,1.2,2.606894188151861,0.3,1,0.426,1.2,465,4650
465,-0.1,0.1,0.4331909531926499,1,2,1.2,2.9714777281548113,0.3,1,0.458,1.2,466,4660
466,-0.1,0.1,0.4715249130789384,1,2,1.2,2.6451577795776418,0.3,1,0.456,1.2,467,4670
467,-0.1,0.1,0.4515807883360876,1,2,1.2,2.619107747749873,0.3,1,0.6930000000000001,1.2,468,4680
468,-0.1,0.1,0.4643425480857361,0,2,1.2,0.934437196258484,0.3,1,0.5770000000000001,1.2,469,4690
469,-0.1,0.1,0.4670283887307716,1,2,1.2,1.8575948190883291,0.3,1,0.414,1.2,470,4700
470,-0.1,0.1,0.4560080399336365,1,2,1.2,2.716947644883076,0.3,1,0.598,1.2,471,4710
471,-0.1,0.1,0.5031730861903181,1,2,1.2,3.0603216672703217,0.3,1,0.39,1.2,472,4720
472,-0.1,0.1,0.471164772651044,1,2,1.2,2.030080394076974,0.3,1,0.759,1.2,473,4730
473,-0.1,0.1,0.4487834662435573,0,2,1.2,-0.018945982090803337,0.3,1,0.902,1.2,474,4740
474,-0.1,0.1,0.5067215576080064,1,2,1.2,1.5690514964843305,0.3,1,0.759,1.2,475,4750
475,-0.1,0.1,0.4683214331583177,1,2,1.2,2.799995154699064,0.3,1,0.385,1.2,476,4760
476,-0.1,0.1,0.5151022864225615,1,2,1.2,2.2534210596011963,0.3,1,0.35100000000000003,1.2,477,4770
477,-0.1,0.1,0.4651351962515803,1,2,1.2,2.459357202474212,0.3,1,0.735,1.2,478,4780
478,-0.1,0.1,0.4335732209514381,1,2,1.2,3.6585456457003533,0.3,1,0.515,1.2,479,4790
479,-0.1,0.1,0.4272644277550922,0,2,1.2,2.203968340285497,0.3,1,0.5,1.2,480,4800
480,-0.1,0.1,0.5329122855479472,1,2,1.2,2.8619109452612617,0.3,1,0.426,1.2,481,4810
481,-0.1,0.1,0.4859077739704906,1,2,1.2,2.650794811482303,0.3,1,0.556,1.2,482,4820
482,-0.1,0.1,0.4615211534369781,1,2,1.2,2.1377828885197823,0.3,1,0.8799999999999999,1.2,483,4830
483,-0.1,0.1,0.49105372414732,1,2,1.2,1.9255463886280637,0.3,1,0.507,1.2,484,4840
484,-0.1,0.1,0.4362636111600518,1,2,1.2,2.451184698183446,0.3,1,0.8390000000000001,1.2,485,4850
485,-0.1,0.1,0.3849254411068404,0,2,1.2,-0.14240873998018433,0.3,1,1.344,1.2,486,4860
486,-0.1,0.1,0.4846593637668273,1,2,1.2,2.3594788167265994,0.3,1,0.414,1.2,487,4870
487,-0.1,0.1,0.3958955106182952,1,2,1.2,2.9803855524681633,0.3,1,0.7829999999999999,1.2,488,4880
488,-0.1,0.1,0.5279940164941458,1,2,1.2,0.7040736002816497,0.3,1,0.452,1.2,489,4890
489,-0.1,0.1,0.4321973790581824,1,2,1.2,4.3707781727916934,0.3,1,0.42,1.2,490,4900
490,-0.1,0.1,0.4281098020694308,1,2,1.2,1.432645384771261,0.3,1,0.463,1.2,491,4910
491,-0.1,0.1,0.4184386047722329,1,2,1.2,4.841532948631252,0.3,1,0.5549999999999999,1.2,492,4920
